,Compound.Type,Column,Compound.Name,Emperical.Formula,RT,mz,z,polarity,,Confidence.Level,RTrange
131,Nucleic Acid,HILIC,Cytosine,C4H5N3O,5.615,110.03599,-1,negative,,Level 1,
132,Nucleoside,HILIC,Uridine,C9H12N2O6,6.02,243.06226,-1,negative,,Level 1,
133,Osmolyte,HILIC,Homarine,C7H7NO2,6.19,138.05496,1,positive,,Level 1,
134,Amino Acid,HILIC,Cysteine,C3H7NO2S,7,122.0276,1,positive,,Level 1,
135,Sulfur,HILIC,Isethionic Acid,C2H6O4S,7.2,124.9904,-1,negative,,Level 1,
136,Internal Standard,HILIC,"Isethionic Acid, 13C2",C(13)2H6O4S,7.2,126.998113,-1,negative,,Level 1,
137,Nucleoside,HILIC,Cytidine,C9H13N3O5,7.31,242.07824,-1,negative,,Level 1,
138,Redox,HILIC,FAD,C27H33N9O15P2,7.585,784.14986,-1,negative,,Level 1,
139,Amino Acid,HILIC,Leucine,C6H13NO2,7.63,132.10191,1,positive,,Level 1,
140,Amino Acid derivative,HILIC,Betaine,C5H11NO2,7.86,118.08626,1,positive,,Level 1,
141,Amino Acid,HILIC,Isoleucine,C6H13NO2,8.17,132.10191,1,positive,,Level 1,
142,Internal Standard,HILIC,"L-Isoleucine, 15N",C6H13N(15)O2,8.17,133.09894,1,positive,,Level 1,
143,Internal Standard,HILIC,"L-Methionine, D3",C5D3H8NO2S,8.29,153.077156,1,positive,,Level 1,
144,Amino Acid,HILIC,Methionine,C5H11NO2S,8.29,150.05833,1,positive,,Level 1,
145,Co-enzyme A,HILIC,Crotonyl CoA,C25H40N7O17P3S,8.45,834.13415,-1,negative,,Level 1,
146,Redox,HILIC,Riboflavin Monophosphate,C17H21N4O9P,8.6,455.09734,-1,negative,,Level 1,
147,Amino Acid synthesis,HILIC,L-Homocysteine,C4H9NO2S,8.7,136.04268,1,positive,,Level 1,
148,Intracellular signaling,HILIC,cGMP,C10H12N5O7P,8.8,344.04016,-1,negative,,Level 1,
149,Co-enzyme A,HILIC,Propionyl CoA,C24H40N7O17P3S,8.83,822.13415,-1,negative,,Level 1,
150,Nucleic Acid,HILIC,Guanine,C5H5N5O,8.95,150.0415,-1,negative,,Level 1,
151,Amino Acid derivative,HILIC,Dimethyl Glycine,C4H9NO2,8.97,104.07061,1,positive,,Level 1,
152,Amino Acid,HILIC,Valine,C5H11NO2,9.09,118.08626,1,positive,,Level 1,
153,Sulfur,HILIC,DMSP,C5H10O2S,9.325,135.0473,-1,negative,,Level 1,
154,Amino Acid,HILIC,Proline,C5H9NO2,9.49,116.07061,1,positive,,Level 1,
155,Nucleoside,HILIC,Guanosine,C10H13N5O5 ,9.67,282.08439,-1,negative,,Level 1,
156,Amino Acid,HILIC,Tyrosine,C9H11NO3,9.76,182.08117,1,positive,,Level 1,
157,Amino Acid,HILIC,Glycine,C2H5NO2,9.895,76.0398,1,positive,,Level 1,
158,Osmolyte,HILIC,Ectoine,C6H10N2O2,10,141.06695,-1,negative,,Level 1,
159,Sulfur,HILIC,Taurine,C2H7NO3S,10,124.0064,-1,negative,,Level 1,
160,Internal Standard,HILIC,"Taurine, D4",C2D4H3NO3S,10,128.032495,-1,negative,,Level 1,
161,Amino Acid - collagen,HILIC,trans Hydroxyl proline,C5H9NO3,10.07,132.06552,1,positive,,Level 1,
162,Amino sugar,HILIC,Chitobiose,C16H28N2O11 ,10.21,425.17659,1,positive,,Level 1,
163,Co-enzyme A,HILIC,Acetoacetyl CoA,C25H40N7O18P3S,10.6,850.12906,-1,negative,,Level 1,
164,Redox,HILIC,NAD,C21H27N7O14P2,10.6,662.10184,-1,negative,,Level 1,
165,Glycine metabolite,HILIC,Sarcosine,C3H7NO2,10.6,90.0554,1,positive,,Level 1,
166,Sulfur,HILIC,DHPS,C3H8O5S,10.67,155.0011,-1,negative,,Level 1,
167,Organic Acid,HILIC,Gluconic Acid,C6H12O7,10.79,195.05103,-1,negative,,Level 1,
168,Co-enzyme A,HILIC,Acetyl CoA,C23H38N7O17P3S,10.84,808.1185,-1,negative,,Level 1,
169,Internal Standard,HILIC,"Acetyl CoA, 13C2",C21C(13)2H38N7O17P3S,10.84,810.125208,-1,negative,,Level 1,
170,Organic Acid,HILIC,Ketoglutaric Acid,C5H6O5,10.845,145.0134,-1,negative,,Level 1,
171,Amino Acid synthesis,HILIC,Adenosyl Homocysteine,C14H20N6O5S,10.85,385.12886,1,positive,,Level 1,
172,Amino Acid,HILIC,Threonine,C4H9NO3,10.92,120.06552,1,positive,,Level 1,
173,Amino Acid synthesis,HILIC,Shikimic Acid,C7H10O5,10.97,173.04555,-1,negative,,Level 1,
174,Organic Acid,HILIC,Methylphosphonic Acid,CH5O3P,11,94.9795,-1,negative,,Level 1,
175,Peptidoglycan,HILIC,Muramic Acid,C9H17NO7,11,252.10778,1,positive,,Level 1,
176,Amino Acid - degraded,HILIC,Aminobutyric Acid,C4H9NO2,11.155,104.07061,1,positive,,Level 1,
177,Redox,HILIC,NADH,C21H27N7O14P2,11.26,664.1191,-1,negative,,Level 1,
178,Amino Acid,HILIC,Alanine,C3H7NO2,11.3,90.05496,1,positive,,Level 1,
179,Internal Standard,HILIC,"DL-Alanine, D3",C3H4D3NO2,11.3,93.073785,1,positive,,Level 1,
180,Organic Acid - nitrogenous,HILIC,Creatine,C4H9N3O2,11.34,132.07675,1,positive,,Level 1,
181,Internal Standard,HILIC,"DL-Histidine, 15N",C6H9N3N(15)O2,11.45,157.0738,1,positive,,Level 1,
182,Amino Acid,HILIC,Histidine,C6H9N3O2,11.45,156.07675,1,positive,,Level 1,
183,Vitamin (B1-derivative),HILIC,Thiamine monophosphate,C12H18N4O4PS,11.5,345.07809,1,positive,,Level 1,
184,Co-enzyme A,HILIC,Hydroxybutyryl CoA,C25H42N7O18P3S,11.545,852.1098,-1,negative,,Level 1,
185,Energy charge,HILIC,AMP,C10H14N5O7P,11.585,346.05581,-1,negative,,Level 1,
186,Amino Acid,HILIC,Glutamine,C5H10N2O3,11.7,147.07642,1,positive,,Level 1,
187,Amino Acid,HILIC,Asparagine,C4H8N2O3,11.86,133.06077,1,positive,,Level 1,
188,Amino Acid,HILIC,Serine,C3H7NO3,11.86,106.04987,1,positive,,Level 1,
189,Organic Acid,HILIC,Succinic Acid,C4H6O4,11.9,117.0183,-1,negative,,Level 1,
190,Internal Standard,HILIC,"Succinic Acid, D4",C4D4H2O4,11.9,121.04444,-1,negative,,Level 1,
191,Organic Acid,HILIC,Malic Acid,C4H6O5,11.97,133.0133,-1,negative,,Level 1,
192,Antioxidant,HILIC,Glutathione,C10H17N3O6S,12,308.09108,1,positive,,Level 1,
193,Energy charge,HILIC,ADP,C10H15N5O10P2,12.09,426.02214,-1,negative,,Level 1,
194,Sulfur,HILIC,Cysteic Acid,C3H7NO5S,12.15,167.9966,-1,negative,,Level 1,
195,Internal Standard,HILIC,"L-Cysteic Acid, D3",C3D3H4NO5S,12.15,171.016047,-1,negative,,Level 1,
196,Amino Acid,HILIC,Glutamic acid,C5H9NO4,12.41,148.06043,1,positive,,Level 1,
197,Organic Acid,HILIC,Fumaric Acid,C4H4O4,12.7,115.0026,-1,negative,,Level 1,
198,Redox,HILIC,NADP,C21H29N7O17P3,12.74,742.0698,-1,negative,,Level 1,
199,Nucleotide sugar,HILIC,UDP-glucosamine,C17H27N3O17P2,12.75,606.07429,-1,negative,,Level 1,
200,Amino Acid,HILIC,Aspartic Acid,C4H7NO4,12.86,134.04478,1,positive,,Level 1,
201,Calvin cycle intermediate,HILIC,DHAP,C3H7O6P,12.86,168.9888,-1,negative,,Level 1,
202,Sulfur,HILIC,3-Sulfopyruvic Acid,C3H4O6S,12.92,166.96558,-1,negative,,Level 1,
203,Co-enzyme A,HILIC,Succinyl CoA,C25H40N7O19P3S,12.965,866.12398,-1,negative,,Level 1,
204,Antioxidant,HILIC,Trehalose,C12H22O11 ,13,341.10893,-1,negative,,Level 1,
205,Amino Acid synthesis,HILIC,Adenosyl Methionine,C15H22N6O5S,13.01,399.14451,1,positive,,Level 1,
206,Redox,HILIC,Glycerol 3 phosphate,C3H9O6P,13.065,171.0064,-1,negative,,Level 1,
207,Amino Acid,HILIC,Cystine,C6H12N2O4S2,13.1,241.03112,1,positive,,Level 1,
208,Amino Acid synthesis,HILIC,Cystathionine,C7H14N2O4S,13.14,223.07582,1,positive,,Level 1,
209,Co-enzyme A,HILIC,Methyl Malonyl CoA,C25H40N7O19P3S,13.18,866.1251,-1,negative,,Level 1,
210,Organic Acid,HILIC,Oxalic Acid,C2H2O4,13.235,88.9869,-1,negative,,Level 1,
211,Internal Standard,HILIC,"Sulfolactic Acid, 13C3",C(13)2H5O4S,13.27,171.99129,-1,negative,,Level 1,
212,Sulfur,HILIC,Sulfolactate,C3H6O6S,13.275,168.9812,-1,negative,,Level 1,
213,Sugar phosphate,HILIC,Ribose 5 phosphate,C5H11O8P,13.29,229.01188,-1,negative,,Level 1,
214,Redox,HILIC,NADPH,C21H29N7O17P3,13.345,744.0833,-1,negative,,Level 1,
215,Sugar phosphate,HILIC,Glucose 1 phosphate,C6H13O9P,13.45,259.02244,-1,negative,,Level 1,
216,Sugar phosphate,HILIC,Fructose 6 phosphate,C6H13O9P,13.51,259.02244,-1,negative,,Level 1,
217,Co-enzyme A,HILIC,Malonyl CoA,C24H38N7O19P3S,13.525,852.1458,-1,negative,,Level 1,
218,Nucleotide sugar,HILIC,UDP-glucose,C15H24N2O17P2,13.59,565.04774,-1,negative,,Level 1,
219,Intracellular signaling,HILIC,Cyclic diGMP,C20H24N10O14P2,13.74,689.08759,-1,negative,,Level 1,
220,Vitamin (B1-derivative),HILIC,Thiamine pyrophosphate,C12H19N4O7P2S,13.765,425.04442,1,positive,,Level 1,
221,Energy charge,HILIC,GMP,C10H14N5O8P,13.85,362.0515,-1,negative,,Level 1,
222,Organic Acid,HILIC,PEP,C3H5O6P,13.865,166.9751,-1,negative,,Level 1,
223,Sulfur,HILIC,Sulfoacetic Acid,C2H4O5S,13.9,138.9698,-1,negative,,Level 1,
224,Internal Standard,HILIC,"Sulfoacetic Acid, 13C2",C(13)2H4O5S,13.9,140.977378,-1,negative,,Level 1,
225,Sugar phosphate,HILIC,Glucose 6 phosphate,C6H13O9P,14.12,259.02244,-1,negative,,Level 1,
226,Organic Acid,HILIC,Aconitic Acid,C6H6O6,14.21,173.00916,-1,negative,,Level 1,
227,Sugar phosphate,HILIC,Phosphoglyceric Acid,C3H7O7P ,14.755,184.98566,-1,negative,,Level 1,
228,Vitamin (B-like),HILIC,Choline,C5H14NO,15.265,104.10699,1,positive,,Level 1,
229,Energy charge,HILIC,ATP,C10H16N5O13P3,15.35,505.98847,-1,negative,,Level 1,
230,Organic Acid,HILIC,Isocitric Acid,C6H8O7,15.65,191.01973,-1,negative,,Level 1,
231,Amino Acid - collagen,HILIC,Hydroxylysine,C6H14N2O3,16.37,163.10772,1,positive,,Level 1,
232,Energy charge,HILIC,GTP,C10H16N5O14P3,16.58,543.9536,-1,negative,,Level 1,
233,Organic Acid,HILIC,Citric Acid,C6H8O7,17.06,191.01973,-1,negative,,Level 1,
234,Amino Acid,HILIC,Lysine,C6H14N2O2,17.5,147.1128,1,positive,,Level 1,
235,Amino Acid,HILIC,Arginine,C6H14N4O2,17.93,175.11895,1,positive,,Level 1,
