Compound.Type,organism,Column,ProVesicles,Compound.Name,Emperical.Formula,RT,mass,exact.mass,,z,polarity,reference,link,metlin,fragments,standard.available.
aggregation-inducing signal ,"Acidithrix, lake snow",,no,2-phenethylamine ,C8H11N,NA,121.089,121.0891494,,NA,,Mori et al. 2017,https://pubchem.ncbi.nlm.nih.gov/compound/Phenethylamine#section=Top,no,,
indole alkaloid,Vibrio sp.,,no,"1,1,3-Tris(3-indolyl)butane ",C28H25N3 ,NA,NA,403.2048479,,NA,,Veluri et al. 2003,,,,
indole alkaloid,Vibrio sp.,,no,"3,3- bis(3-indolyl)butane-2-one ",C20H18N2O ,NA,NA,302.1419133,,NA,,Veluri et al. 2003,,,,
indole alkaloid ,Vibrio sp.and plant bacteria,,no,arundine ,C17H14N2,NA,246.116,246.1156985,,NA,,Veluri et al. 2003,https://pubchem.ncbi.nlm.nih.gov/compound/3_3_-Diindolylmethane#section=Top,,,
indole alkaloid,Vibrio sp.,,no,"1,1,1-tris(3-indolyl)methane ",C25H19N3 ,NA,NA,361.1578977,,NA,,Veluri et al. 2003,,,,
,Vibrio sp.,,no,trisindoline ,C24H17N3O,NA,363.137177,363.1371622,,NA,,Veluri et al. 2003,http://www.chemspider.com/Chemical-Structure.2158070.html,,,
,Vibrio sp.,,no,"2,2-di(3-indolyl)-3-indolone ",C24H17N3O,NA,NA,363.1371622,,NA,,Veluri et al. 2003,,,,
,Vibrio sp.,,no,pharacine ,C24H24O8,NA,440.147,440.1471179,,NA,,Veluri et al. 2003,https://pubchem.ncbi.nlm.nih.gov/compound/10455912,,,
,Vibrio sp.,,no,p-hydroxyphenylethanol ,C8H10O2,NA,138.068,138.0680796,,NA,,Veluri et al. 2003,,,,
,Vibrio sp.,,no,phenyl acetamide ,C8H9NO,NA,135.068,135.0684139,,NA,,Veluri et al. 2003,https://pubchem.ncbi.nlm.nih.gov/compound/2-phenylacetamide#section=Computed-Properties,,,
amino-polyketide antibiotic,Vibrio sp. QWI-o6,RP,no,vitroprocine A,C20H33NO2,NA,NA,319.2511294,,NA,positive,Liaw et al. 2015,,,yes,
amino-polyketide antibiotic,Vibrio sp. QWI-o6,RP,no,vitroprocine B,C22H37NO2,NA,NA,347.2824296,,NA,positive,Liaw et al. 2015,,,yes,
amino-polyketide antibiotic,Vibrio sp. QWI-o6,RP,no,vitroprocine C,C20H35NO2,NA,NA,321.2667795,,NA,positive,Liaw et al. 2015,,,yes,
amino-polyketide antibiotic,Vibrio sp. QWI-o6,RP,no,vitroprocine D,C24H39NO3,NA,NA,389.2929943,,NA,positive,Liaw et al. 2015,,,yes,
amino-polyketide antibiotic,Vibrio sp. QWI-o6,RP,no,vitroprocine E,C22H37NO3,NA,NA,363.2773442,,NA,positive,Liaw et al. 2015,,,yes,
amino-polyketide antibiotic,Vibrio sp. QWI-o6,RP,no,vitroprocine F,C22H35NO3,NA,NA,361.2616941,,NA,positive,Liaw et al. 2015,,,yes,
amino-polyketide antibiotic,Vibrio sp. QWI-o6,RP,no,vitroprocine G,C26H43NO3,NA,NA,417.3242944,,NA,positive,Liaw et al. 2015,,,yes,
amino-polyketide antibiotic,Vibrio sp. QWI-o6,RP,no,vitroprocine H,C20H33NO,NA,NA,303.2562148,,NA,positive,Liaw et al. 2015,,,yes,
amino-polyketide antibiotic,Vibrio sp. QWI-o6,RP,no,vitroprocine I,C22H37NO2,NA,NA,347.2824296,,NA,positive,Liaw et al. 2015,,,yes,
amino-polyketide antibiotic,Vibrio sp. QWI-o6,RP,no,vitroprocine J,C22H35NO2,NA,NA,345.2667795,,NA,positive,Liaw et al. 2015,,,yes,
,,,no,andrimid,C27H33N3O5,NA,479.242,479.2420213,,NA,,Wietz et al. 2010,https://pubchem.ncbi.nlm.nih.gov/compound/636857,,,
,,,no,holomycin,C7H6N2O2S2,NA,213.987,213.9870689,,NA,,Wietz et al. 2010,https://pubchem.ncbi.nlm.nih.gov/compound/holomycin,,,
Na channel blocker,,,no,tetrodotoxin,C11H17N3O8,NA,319.102,319.1015646,,NA,,Mansson et al. 2011,https://pubchem.ncbi.nlm.nih.gov/compound/tetrodotoxin#section=Top,,,
,planktonic V. fischeri,,no,hydroxypyrimidine,C4H4N2O,NA,96.032,96.03236277,,NA,,Chavez-Duval et al. 2015,https://pubchem.ncbi.nlm.nih.gov/compound/2-Hydroxypyrimidine#section=Computed-Properties,,,
amino acid derivative,planktonic V. fischeri,,no,tyramine,C8H11NO,NA,137.084,137.084064,,NA,,Chavez-Duval et al. 2015,https://pubchem.ncbi.nlm.nih.gov/compound/tyramine,,,
disaccharide,planktonic V. fischeri,,no,cellobiose,C12H22O11,NA,342.116,342.1162117,,NA,,Chavez-Duval et al. 2015,https://pubchem.ncbi.nlm.nih.gov/compound/cellobiose#section=Computed-Properties,,,
polyketide,T. thiebautii  bloom,,no,Trichophycin A,C29H48ClO3 ,NA,NA,479.3291983,,NA,,Bertin et al. 2017,,,,
polyketide,T. thiebautii  bloom,,no,trichotoxin A ,C20H27ClO ,NA,NA,318.1750433,,NA,,Bertin et al. 2016,,,,
polyketide,T. thiebautii  bloom,,no,trichotoxin B,C20H31ClO,NA,NA,322.2063434,,NA,,Bertin et al. 2016,,,,
carotenoid oxudation product,,RP,yes,Apo-8'-zeaxanthinal,C30H40O2,NA,NA,432.3028307,,1,,,http://carotenoiddb.jp/Entries/CA00832.html,,,
carotenoid oxudation product,,RP,yes,Apo-8'-zeaxanthinal molecular ion,,,,431.2955547,,1,,,,,,
carotenoid oxudation product,,RP,yes,3-hydroxy-beta-ionone,C13H20O2,NA,NA,208.14633,,1,,,https://pubchem.ncbi.nlm.nih.gov/compound/5363700#section=Top,,,
carotenoid oxudation product,,RP,yes,hydroxy-beta-cyclocitral,C10H16O2,NA,NA,168.1150298,,1,,,,,,
carotenoid oxudation product,,RP,yes,B-apo-13-carotenone,C18H26O,NA,NA,258.1983655,,1,,,http://carotenoiddb.jp/Entries/CA00848.html,,,
carotenoid oxudation product,,RP,yes,B-apo-13-carotenone molecular ion,,,,257.1910895,,1,,,,,,
carotenoid oxudation product,,RP,yes,Apo-13-zeaxanthinone,C18H26O2,NA,NA,274.1932802,,1,,,http://carotenoiddb.jp/Entries/CA01003.html,,,
carotenoid oxudation product,,RP,yes,Apo-13-zeaxanthinone molecular ion,,,,273.1860042,,1,,,,,,
carotenoid oxudation product,,RP,yes,beta-Apo-10'-carotenal,C27H36O,NA,NA,376.2766159,,1,,,http://carotenoiddb.jp/Entries/CA00811.html,,,
carotenoid oxudation product,,RP,yes,beta-Apo-10'-carotenal molecular ion,,,,375.2693399,,1,,,,,,
carotenoid oxudation product,,RP,yes,beta-Apo-12'-carotenal,C25H34O,NA,NA,350.2609658,,1,,,http://carotenoiddb.jp/Entries/CA00808.html,,,
carotenoid oxudation product,,RP,yes,beta-Apo-12'-carotenal molecular ion,,,,349.2536898,,1,,,,,,
carotenoid oxudation product,,RP,yes,beta-Apo-14'-carotenal,C22H30O,NA,NA,310.2296657,,1,,,,,,
carotenoid oxudation product,,RP,yes,beta-Apo-14'-carotenal molecular ion,,,,309.2223897,,1,,,,,,
carotenoid oxudation product,,RP,yes,Apo-10'-zeaxanthinal,C27H36O2,NA,NA,392.2715305,,1,,,http://carotenoiddb.jp/Entries/CA00846.html,,,
carotenoid oxudation product,,RP,yes,Apo-10'-zeaxanthinal molecular ion,,,,391.2642545,,1,,,,,,
carotenoid oxudation product,,RP,yes,Apo-12'-zeaxanthinal,C25H34O2,NA,NA,366.2558805,,1,,,http://carotenoiddb.jp/Entries/CA00810.html,,,
carotenoid oxudation product,,RP,yes,Apo-12'-zeaxanthinal molecular ion,,,,365.2486045,,1,,,,,,
carotenoid oxudation product,,RP,yes,Apo-14'-zeaxanthinal,C22H30O2,NA,NA,326.2245803,,1,,,http://carotenoiddb.jp/Entries/CA01002.html,,,
carotenoid oxudation product,,RP,yes,Apo-14'-zeaxanthinal molecular ion,,,,325.2173043,,1,,,,,,
chlorophyll,,RP,yes,chlorophyll a,C55H72MgN4O5,NA,NA,892.535314,,1,,,,,,
chlorophyll biosynthetic precursor,,HILIC,yes,phytanic acid,C20H40O2,NA,NA,312.3028,,-1,,,,,,
calvin cycle,,HILIC,yes,ribulose bisphosphate,C5H12O11P2,NA,NA,309.9854854,,1,,,,,,
calvin cycle,,HILIC,yes,phosphoglyceric acid,C3H7O7P,NA,NA,185.9929397,,1,,,,,,
calvin cycle,,HILIC,yes,"1,3-bisphosphoglyceric acid",C3H8O10P2,NA,NA,265.9592706,,1,,,,,,
calvin cycle,,HILIC,yes,glyceraldehyde 3-phosphate,C3H7O6P,NA,NA,169.998025,,1,,,,,,
calvin cycle,,HILIC,yes,ribulose 5-phosphate,C5H11O8P,NA,NA,230.0191544,,1,,,,,,
